description,price,star_rating,review_count,url
JJTechGiant Touchscreen Gaming Mechanical Keyboard 12.6 Inch Portable Laptop Wired USB RGB Backlit Compact Keyboard with DIY Keycap Plug and Play Split Screen Keyboard for Mac Windows Android,$330.65,4.4 out of 5 stars,9,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09505081215YVUAZAVWF&qualifier=1672435482&id=2280802799226796&widgetName=sp_atf&url=%2FJJTechGiant-Touchscreen-Mechanical-Keyboard-Portable%2Fdp%2FB0B2P8NSBY%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dmechanical%2Bkeyboard%26qid%3D1672435482%26sr%3D8-1-spons%26psc%3D1
"Mechanical Gaming Keyboard,RGB 104 Keys Ultra-Slim Rainbow LED Backlit USB Wired Keyboard with Blue Switches,Durable ABS Keycaps/Anti-Ghosting/Spill-Resistant Mechanical Keyboard for PC Mac Xbox Gamer",$32.99,4.6 out of 5 stars,291,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A054967017PMEI6RUURRZ&qualifier=1672435482&id=2280802799226796&widgetName=sp_atf&url=%2FMechanical-Keyboard-Ultra-Slim-Anti-Ghosting-Spill-Resistant%2Fdp%2FB09TR4Y91J%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dmechanical%2Bkeyboard%26qid%3D1672435482%26sr%3D8-2-spons%26psc%3D1
"Mechanical Gaming Keyboard,RGB 104 Keys Ultra-Slim Rainbow LED Backlit USB Wired Keyboard with Blue Switches,Durable ABS Keycaps/Anti-Ghosting/Spill-Resistant Mechanical Keyboard for PC Mac Xbox Gamer",$32.99,4.6 out of 5 stars,291,https://www.amazon.com/Mechanical-Keyboard-Ultra-Slim-Anti-Ghosting-Spill-Resistant/dp/B09TR4Y91J/ref=sr_1_3?keywords=mechanical+keyboard&qid=1672435482&sr=8-3
"Portable 60% Mechanical Gaming Keyboard, MageGee MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey",$29.99,4.4 out of 5 stars,"2,005",https://www.amazon.com/Portable-Mechanical-Keyboard-MageGee-Backlit/dp/B098LG3N6R/ref=sr_1_4?keywords=mechanical+keyboard&qid=1672435482&sr=8-4
"Mechanical Keyboard RGB 104 Keys LED Backlit Wired Gaming Keyboard with Blue Switches, Customizable Key with 19 LED RGB Color Modes, 8 Levels Brightness and Speed Adjustment, Fully Programmable",$31.99,4.3 out of 5 stars,27,https://www.amazon.com/Mechanical-Customizable-Brightness-Adjustment-Programmable/dp/B0BHY6BBTH/ref=sr_1_5?keywords=mechanical+keyboard&qid=1672435482&sr=8-5
SteelSeries Apex 5 Hybrid Mechanical Gaming Keyboard – Per-Key RGB Illumination – Aircraft Grade Aluminum Alloy Frame – OLED Smart Display (Hybrid Blue Switch),$79.99,4.7 out of 5 stars,"8,491",https://www.amazon.com/SteelSeries-Apex-Hybrid-Mechanical-Gaming-Keyboard/dp/B07ZGDD6B1/ref=sr_1_7?keywords=mechanical+keyboard&qid=1672435482&sr=8-7
"Redragon K552 Mechanical Gaming Keyboard RGB LED Rainbow Backlit Wired Keyboard with Red Switches for Windows Gaming PC (87 Keys, Black)",$38.99,4.5 out of 5 stars,"37,080",https://www.amazon.com/Redragon-K552-Mechanical-Keyboard-Equivalent/dp/B016MAK38U/ref=sr_1_8?keywords=mechanical+keyboard&qid=1672435482&sr=8-8
"Black Shark RGB Mechanical Gaming Keyboard LED Backlit Wired Keyboard with Blue Switches, Fully Programmable, Anti-Ghosting 104 Keys for Desktop PC, Sixgill K2",$41.99,4.5 out of 5 stars,362,https://www.amazon.com/Black-Shark-Mechanical-Programmable-Anti-Ghosting/dp/B09Q63QPM4/ref=sr_1_9?keywords=mechanical+keyboard&qid=1672435482&sr=8-9
"Havit Mechanical Keyboard, Wired Compact PC Keyboard with Number Pad Red Switch Mechanical Gaming Keyboard 89 Keys for Computer/Laptop (Black)",$42.99,4.4 out of 5 stars,"2,998",https://www.amazon.com/Mechanical-Keyboard-Gaming-Keycaps-Computer/dp/B085ZDXGZW/ref=sr_1_10?keywords=mechanical+keyboard&qid=1672435482&sr=8-10
"60% Mechanical Gaming Keyboard, Grey&White Gaming Keyboard with Hot Swappable Linear Red Switches, Wired Detachable Type-C Cable Mini Keyboard with Powder Blue Backlight for Windows/Mac/PC/Laptop",$29.99,4.4 out of 5 stars,925,https://www.amazon.com/Mechanical-Keyboard-Swappable-Detachable-Backlight/dp/B09WMC2MYM/ref=sr_1_11?keywords=mechanical+keyboard&qid=1672435482&sr=8-11
